video_id,timestamp,c_x,c_y,w,h,obj_id,confidence
XpGRS72ghag.mkv,902.0,0.33558234572410583,0.5042791366577148,0.5103778839111328,0.8291260401407877,0.0,0.9484784007072449
XpGRS72ghag.mkv,902.0,0.7552627325057983,0.5052347183227539,0.43853074312210083,0.8074607849121094,0.0,0.9904013276100159
XpGRS72ghag.mkv,902.042,0.334983229637146,0.5031866497463651,0.5049607157707214,0.8276596069335938,0.0,0.9514883160591125
XpGRS72ghag.mkv,902.042,0.7562479376792908,0.5050842497083876,0.43698009848594666,0.804942872789171,0.0,0.9912234544754028
XpGRS72ghag.mkv,902.083,0.33239516615867615,0.5031429926554362,0.5091040134429932,0.8248005972968206,0.0,0.9537160992622375
XpGRS72ghag.mkv,902.083,0.7559370994567871,0.505690680609809,0.4321427345275879,0.8020416895548502,0.0,0.9913237690925598
XpGRS72ghag.mkv,902.125,0.33234041929244995,0.5049961937798394,0.5091407895088196,0.8186834653218586,0.0,0.960240364074707
XpGRS72ghag.mkv,902.125,0.7582637667655945,0.5036551157633463,0.42569249868392944,0.7982293234931097,0.0,0.990246057510376
XpGRS72ghag.mkv,902.167,0.3344639241695404,0.5019867155287001,0.5079463124275208,0.82684146033393,0.0,0.9671523571014404
XpGRS72ghag.mkv,902.167,0.7598111629486084,0.5030237833658854,0.42553040385246277,0.7917424837748209,0.0,0.9896945953369141
XpGRS72ghag.mkv,902.208,0.3352237641811371,0.5045291052924262,0.5087887644767761,0.8184140523274739,0.0,0.9757165312767029
XpGRS72ghag.mkv,902.208,0.761878252029419,0.5024052725897895,0.4206714332103729,0.7903459866841633,0.0,0.9899648427963257
XpGRS72ghag.mkv,902.25,0.33612820506095886,0.5052944819132487,0.5059637427330017,0.8286824226379395,0.0,0.9781809449195862
XpGRS72ghag.mkv,902.25,0.7624929547309875,0.5051797231038412,0.4130297303199768,0.788635147942437,0.0,0.9878043532371521
XpGRS72ghag.mkv,902.292,0.3387638032436371,0.5078350702921549,0.5169422626495361,0.8225541644626193,0.0,0.9635754823684692
XpGRS72ghag.mkv,902.292,0.7625136375427246,0.5044634077284071,0.41700729727745056,0.785454167260064,0.0,0.9873978495597839
